Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:64685000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
64685000;2;01/11/1954;;1;1;1296,368;133,545;302,874;1;30;1;1;1;;0;1296,368;862,737;620,001;493,771;403,523;349,677;316,744;290,826;271,652;259;255,854;252,715;249,583;259;265,312;249,583;227,855;206,49;197,45;188,483;179,591;173,706;167,857;164,945;159,15;156,266;150,527;144,827;139,165;133,545;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64685000;2;01/12/1954;;1;1;215,601;114,21;141,091;29;14;1;1;1;;0;130,751;127,966;136,35;133,545;133,545;127,966;122,431;119,679;116,939;116,939;116,939;130,751;122,431;114,21;114,21;139,165;139,165;136,35;133,545;133,545;139,165;139,165;139,165;144,827;147,672;156,266;162,043;206,49;215,601;194,453;182,547;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/01/1955;;1;1;237,124;90,193;151,169;13;31;1;1;1;;0;167,857;150,527;147,672;147,672;130,751;127,966;127,966;127,966;136,35;150,527;150,527;179,591;237,124;218,653;203,469;194,453;185,511;179,591;203,469;182,547;164,945;159,15;153,392;141,991;122,431;114,21;103,412;98,086;95,442;92,811;90,193;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/02/1955;;1;1;119,679;79,858;98,862;7;28;1;1;1;;0;92,811;106,094;111,493;111,493;111,493;111,493;119,679;119,679;108,787;95,442;95,442;92,811;90,193;95,442;98,086;100,743;106,094;111,493;103,412;92,811;87,588;92,811;90,193;95,442;82,42;82,42;82,42;79,858;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
64685000;2;01/03/1955;;1;1;306,979;77,31;162,992;30;1;1;1;1;;0;77,31;79,858;79,858;79,858;90,193;92,811;114,21;108,787;111,493;116,939;116,939;116,939;116,939;111,493;122,431;141,991;203,469;303,736;297,268;262,153;218,653;188,483;176,645;156,266;141,991;144,827;176,645;209,519;294,044;306,979;294,044;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/04/1955;;1;1;518,603;111,493;181,694;30;12;1;1;1;;0;262,153;246,457;188,483;170,777;156,266;144,827;130,751;125,193;122,431;119,679;114,21;111,493;111,493;111,493;116,939;150,527;200,455;221,713;274,831;265,312;240,228;203,469;179,591;164,945;153,392;139,165;127,966;156,266;221,713;518,603;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64685000;2;01/05/1955;;1;1;770,062;127,966;265,493;22;15;1;1;1;;0;472,661;373,066;310,228;249,583;215,601;191,464;176,645;164,945;150,527;141,991;139,165;136,35;133,545;133,545;127,966;139,165;159,15;191,464;203,469;197,45;249,583;770,062;709,349;568,901;458,68;346,358;274,831;234,027;215,601;197,45;197,45;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/06/1955;;1;1;6189,287;215,601;1370,333;22;1;1;1;1;;0;215,601;246,457;326,563;326,563;284,409;252,715;224,78;215,601;227,855;278,017;532,889;568,901;504,387;758,611;1560,746;1246,232;1329,984;1457,378;1586,783;1775,558;3334,412;6189,287;3956,003;3021,227;2579,07;1869,089;1338,412;1478,809;1630,346;1793,308;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64685000;2;01/07/1955;;1;1;3192,606;376,429;1247,793;6;29;1;1;1;;0;1940,915;2099,677;2260,602;2400,182;2541,22;3192,606;2683,663;2602,776;2442,343;1864,616;1547,757;1487,397;1279,617;1085,8;961,192;831,639;770,062;690,56;620,001;587,061;536,471;515,043;483,196;462,168;448,243;420,624;406,933;389,934;376,429;376,429;376,429;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/08/1955;;1;1;3343,332;246,457;642,289;29;23;1;1;1;;0;393,324;400,118;393,324;366,356;343,044;326,563;320,011;306,979;300,499;294,044;287,614;284,409;284,409;281,21;281,21;284,409;284,409;281,21;320,011;323,284;297,268;262,153;246,457;249,583;287,614;554,446;1414,684;1860,145;3343,332;2948,298;2090,546;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
